N1	See readers' New Year photos	How do you celebrate the evening?
N3131	- This is four times New Year's Eve	Sparebank1 SMN celebrated itself with massive fireworks.
N3132	- Now I try to park so that the car is clearly visible	Ingjerd Larsen had his license plate stolen from a parking lot at Moholt.
N3133	Drew the apartment on food paper	The walls of this apartment "were demolished" on a damp evening in Copenhagen.
N3134	Twelve companies in Trøndelag you will probably hear more about	Petter Northug and Gustav Magnar Witzøe have invested in one of the technology companies on the list.
N3135	Picture glued from Oppdal	Oppdal has a lot to offer. Nature, culture, sports and great people in beautiful union. Enjoy this photo cavalcade by LUDVIG KILLINGBERG JR.
N3136	Twins go their separate ways	Ida believes in God a little, so she chooses the church when she is confirmed. His twin brother Martin believes a little less, which is why he prefers bourgeois confirmation. Thus, there will be two days of confirmation with the Steinsbekk/Waadeland family this weekend.
N3137	Strong increase of resistant bacteria	So far this year, 40 per cent more multidrug-resistant Staphylococcus aureus has been detected in Norway than at the same time last year.
N3138	The city's richest student?	Ole Martin Braathen (26) definitely did not need student loans last year.
N3139	The path to deeper love	Something is deeply miserable in our culture. 100 years ago, there were less than 100 divorces a year. Now over 10,000 couples break up and 25-30,000 children are affected. Every year!
N3140	How to make stainless steel shine	Do you also get speed stripes?
N3141	- The temperature of the water can be fatal	In the past week, four people have died in canoe accidents. A total of 50 people have lost their lives in kayak or canoe accidents in the last ten years in Norway.
N3142	The Big Party	The night of May 17 is the big night of celebration for young people of all ages. Several organizers in Trondheim and the surrounding area are fighting for the public's favor.
N3143	Say hello to the new hello lady	After seven years in Trondheim, Hilde-Yvonne Smelror (32) moves to the capital and becomes the new channel host on NRK.
N3144	Hotel and restaurant strike extended on 17 May	A further 50 members of fellesforbundet will go on strike from 17 May.
N3145	It was better than I thought.	Join us on a guided tour of the new "rust building" of the School of Business and Law in Trondheim.
N3146	This bird invaded Trøndelag in 1995	You may be lucky enough to see this bird if there is a zembra pine nearby.
N3147	Police call down about ongoing beggars	Has gone door to door in Trondheim and Melhus. "It's not illegal what they're doing," police said.
N3148	Mia (18) from Stjørdal died	It was Mia Martine Korsveien Steig from Stjørdal who died in the head-on collision just across the Swedish border on Maundy Thursday evening.
N3149	Skeptical of music players	Several principals are sceptical or dismissive of students being allowed to use mp3 players during school hours.
N3150	Nurse dragged patient through this hatch when man ran amok in emergency room	The accused man has explained during interrogation that he razed the emergency room because he was not referred for the desired treatment by the doctor who examined him.
N3151	Beaten up rape charge - sentenced to three years in prison	The man in his 30s beat up the man who allegedly tried to rape his girlfriend in Oppdal last summer. Now the man who beat has been sentenced to three years in prison.
N3152	Drone can win coveted Canon Award	Trønderske film actors receive many nominations for the Kanonprisen.
N3153	Witch hunt - the new Norwegian folk sport	Making mistakes can happen to the best, it is argued generously. If you are unlucky enough to make mistakes, the reaction is often anything but generous – on the Internet.
N3154	Here the students stand in line at six in the morning	It's six o'clock in the morning, and at the School of Business, students are queuing up to get in.
N3155	SINTEF researcher: "An elderly driver will be functionally blind for up to five seconds in a dark tunnel"	We are getting more and more elderly citizens. They are fit and they drive a car – for a long time. At the same time, more and more traffic is being tunnelled.
N3156	- It's rare that it's boring in the gym	The effort is at its peak during the physical education class of class 10C at Charlottenlund.
N3157	Excessive use of force in child welfare services, seven-year-olds put to the ground with police intervention	Children's Ombudsman Anne Lindboe asks for a clean-up. She is very surprised that young children as young as seven are subjected to physical coercion, such as prolonged restraint.
N3158	- Almost like being part of a time travel	Director Markus Dahlslett has been working on the Viking film "Trace" for two years. At Kosmorama he exhibits fierce battle scenes, magnificent scenery in Trøndelag and Vikings roaring in Old Norse.
N3159	Brimi and Hjeltnes launch Trøndersk food boxes	Arne Brimi and Arne Hjeltnes believe there is a market in Trøndelag for short-travelled and "short-packed" food boxes delivered to your door.
N3160	And there Neil Young was back on Spotify again	All of a sudden, Neil Young was back on Spotify again.
N3161	Business peak killed	Fara boss Lars Lillegraven died on Tuesday after he suffered a car accident over the weekend.
N3162	What makes your baby smarter	It's easier than you think.
N3163	- Loses all view of the fjord	Neighbours of Trondheim Stasjonssenter are raging against the plans for the building to tower 28 meters. They lose all views of the fjord.
N3164	- I didn't feel intoxicated	The man charged after the car accident in which Mia Martine Korsveien Steig (18) lost her life, pleaded guilty.
N3165	The handlebars impaled Sander in the stomach	The 13-year-old won the race against his comrades, raising his arms triumphantly above his head. Then things went horribly wrong.
N3166	Marenspill in a new musical costume	"It will be very melancholic and beautiful," says producer Unni Cicilie Haugen.
N3167	Caught sharks in the Stjørdalsfjord	Salmon fishing is underway in mid-Norway. Many readers have also submitted trout and other fish species they have caught on the hook.
N3168	The Beggar Plague	I have to admit it: I don't like to see beggars on the street.
N3169	Tesla's Model X is truly something special	It's huge, has weird doors and runs like a silent super sports car. Tesla continues to be something of its own with the Model X.
N3170	The accused 15-year-old was at school after the murders	The 15-year-old man charged with murder was at school the day after Lund's double murder. Later in the evening, he confessed to the murders during questioning by police.
N3171	Killed by the village animal	Vital version of veteran games, where not least the new lead actor impresses with a strong presence.
N3172	Farms for sale	The case is updated. Finally, a small possibility seems to open up for something as rare as a virtually free sale of a farm in the Middle Norway.
